t_s,onset_z
1.390533000000000072e+02,3.492200000000000000e+04
1.418814000000000135e+02,2.954200000000000000e+04
1.500399999999999920e+02,2.968200000000000000e+04
1.574170000000000016e+02,2.967400000000000000e+04
1.655107000000000141e+02,3.002400000000000000e+04
1.710366999999999962e+02,3.034000000000000000e+04
1.768349000000000046e+02,3.078200000000000000e+04
1.843873000000000104e+02,3.160200000000000000e+04
1.901947000000000116e+02,3.181400000000000000e+04
1.971800000000000068e+02,3.228800000000000000e+04
2.033206000000000131e+02,3.252000000000000000e+04
2.097300999999999931e+02,3.309400000000000000e+04
2.160921999999999912e+02,3.331400000000000000e+04
2.224124999999999943e+02,3.379200000000000000e+04
2.271133000000000095e+02,3.118000000000000000e+04
2.338267999999999915e+02,3.119400000000000000e+04
2.385301000000000045e+02,3.141200000000000000e+04
2.437435999999999865e+02,3.119200000000000000e+04
2.496441000000000088e+02,3.159600000000000000e+04
2.552680000000000007e+02,3.170800000000000000e+04
