t_s,onset_z
4.043800000000000061e+00,3.298400000000000000e+04
7.084299999999999820e+00,3.015600000000000000e+04
1.068009999999999948e+01,3.024400000000000000e+04
1.422739999999999938e+01,3.038400000000000000e+04
1.765399999999999991e+01,3.044600000000000000e+04
2.089280000000000115e+01,3.050600000000000000e+04
2.429240000000000066e+01,3.059000000000000000e+04
2.737859999999999872e+01,3.066400000000000000e+04
3.062999999999999901e+01,3.079200000000000000e+04
3.383160000000000167e+01,3.098600000000000000e+04
3.698559999999999803e+01,3.104600000000000000e+04
4.036180000000000234e+01,3.134400000000000000e+04
4.334620000000000317e+01,3.169400000000000000e+04
4.618449999999999989e+01,3.164000000000000000e+04
4.918780000000000285e+01,3.186200000000000000e+04
5.235289999999999822e+01,3.201000000000000000e+04
5.565079999999999671e+01,3.222000000000000000e+04
5.868520000000000181e+01,3.214800000000000000e+04
6.158400000000000318e+01,3.212200000000000000e+04
6.451319999999999766e+01,3.217400000000000000e+04
