test,what,a,b,c
drop leading points,drop 0,21 points,profile RMS 636,"consecutive r arithmetic +0.515, Fisher-z +0.647",split-half +0.923
drop leading points,drop 1,20 points,profile RMS 339,"consecutive r arithmetic +0.249, Fisher-z +0.317",split-half +0.771
drop leading points,drop 2,19 points,profile RMS 233,"consecutive r arithmetic +0.025, Fisher-z +0.048",split-half +0.672
drop leading points,drop 3,18 points,profile RMS 238,"consecutive r arithmetic +0.057, Fisher-z +0.083",split-half +0.675
drop leading points,drop 4,17 points,profile RMS 244,"consecutive r arithmetic +0.163, Fisher-z +0.195",split-half +0.677
drop leading points,drop 5,16 points,profile RMS 229,"consecutive r arithmetic +0.120, Fisher-z +0.148",split-half +0.633
drop leading points,drop 6,15 points,profile RMS 198,"consecutive r arithmetic +0.066, Fisher-z +0.087",split-half +0.504
the jump,first step,mean +1533 counts,"ordinary interior step, mean absolute 376",factor 4.1; grows +137 counts per pass
flyback,line_repeated_wide,tilt -0.105 Z/X,flyback 30000 X counts,"predicted 3144, observed 2465"
flyback,scan_wide_25nm_1,tilt -0.133,no flyback,observed jump 78
flyback,scan_wide_25nm_2,tilt -0.134,no flyback,observed jump 37
flyback,ycontrol_run1.csv,tilt -0.0009,flyback 30000,"predicted 28, observed -99"
flyback,ycontrol_run2_ysep12000.csv,tilt +0.0079,flyback 30000,"predicted 238, observed 47"
after dropping 2 points,profile RMS,233,surrogate 166+-36,p = 0.035
after dropping 2 points,consecutive r,+0.048,surrogate +0.001+-0.102,p = 0.326
