t,tag,z,bias,value
0.30589,rec,0,38229,1068
0.30615,rec,0,38229,1056
0.30649,rec,0,38229,1069
0.30677,rec,0,38229,1078
0.30711,rec,0,38229,1145
0.30738,rec,0,38229,1102
0.30767,rec,0,38229,1129
0.30797,rec,0,38229,1128
0.30826,rec,0,38229,1151
0.30854,rec,0,38229,1135
0.30884,rec,0,38229,1083
0.30914,rec,0,38229,1065
0.3094,rec,0,38229,1035
0.30974,rec,0,38229,1136
0.31003,rec,0,38229,1078
0.31036,rec,0,38229,1110
0.31065,rec,0,38229,1146
0.31098,rec,0,38229,1137
0.31127,rec,0,38229,1176
0.31159,rec,0,38229,1154
0.31188,rec,0,38229,1116
0.31217,rec,0,38229,1077
0.31248,rec,0,38229,1131
0.31274,rec,0,38229,1128
0.31303,rec,0,38229,1142
0.31336,rec,0,38229,1167
0.31366,rec,0,38229,1057
0.31397,rec,0,38229,1148
0.31426,rec,0,38229,1013
0.31455,rec,0,38229,1094
0.31484,rec,0,38229,1116
0.31513,rec,0,38229,1030
0.31544,rec,0,38229,1092
0.31571,rec,0,38229,1097
0.31601,rec,0,38229,1056
0.31632,rec,0,38229,1141
0.31661,rec,0,38229,1082
0.31691,rec,0,38229,1085
0.3172,rec,0,38229,1079
0.31746,rec,0,38229,1158
0.31777,rec,0,38229,1075
0.31805,rec,0,38229,1162
0.31842,rec,0,38229,1165
0.31876,rec,0,38229,1010
0.31907,rec,0,38229,1057
0.31937,rec,0,38229,1044
0.31968,rec,0,38229,1048
0.31996,rec,0,38229,1114
0.32024,rec,0,38229,1055
0.32052,rec,0,38229,1084
0.32086,rec,0,38229,1061
0.32115,rec,0,38229,1075
0.32147,rec,0,38229,1092
0.32176,rec,0,38229,1071
0.32205,rec,0,38229,995
0.32234,rec,0,38229,1050
0.32263,rec,0,38229,1080
0.32293,rec,0,38229,1034
0.32321,rec,0,38229,1081
0.3235,rec,0,38229,1094
0.32379,rec,0,38229,1001
0.32409,rec,0,38229,1024
0.32438,rec,0,38229,1102
0.32465,rec,0,38229,997
0.32497,rec,0,38229,1032
0.32525,rec,0,38229,1097
0.32555,rec,0,38229,988
0.32584,rec,0,38229,1040
0.32614,rec,0,38229,1088
0.32641,rec,0,38229,987
0.32669,rec,0,38229,990
0.32699,rec,0,38229,1042
0.32725,rec,0,38229,1089
0.32751,rec,0,38229,1113
0.32781,rec,0,38229,1104
0.32811,rec,0,38229,1059
0.3284,rec,0,38229,1108
0.32869,rec,0,38229,1131
0.32896,rec,0,38229,1059
0.32924,rec,0,38229,1116
0.32952,rec,0,38229,1074
0.32984,rec,0,38229,1098
0.33011,rec,0,38229,1092
0.3304,rec,0,38229,1079
0.33069,rec,0,38229,1036
0.33097,rec,0,38229,1024
0.33125,rec,0,38229,1016
0.33153,rec,0,38229,1025
0.33184,rec,0,38229,1035
0.33213,rec,0,38229,980
0.33243,rec,0,38229,977
0.33269,rec,0,38229,994
0.33298,rec,0,38229,1058
0.33327,rec,0,38229,973
0.33361,rec,0,38229,1026
0.33389,rec,0,38229,1019
0.33423,rec,0,38229,1053
0.33451,rec,0,38229,1098
0.3348,rec,0,38229,1073
0.33511,rec,0,38229,983
0.3354,rec,0,38229,1055
0.33574,rec,0,38229,1121
0.33603,rec,0,38229,1099
