y_offset,pass,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
-12000,0,50438,50388,50324,50274,50256,50220,50198,50186,50135,50118,50109,50083,50059,50048,50023,49993,49968,49943,49914,49909,49906
0,0,48878,48814,48753,48697,48647,48612,48576,48529,48473,48392,48322,48251,48185,48112,48042,47967,47893,47801,47719,47629,47539
12000,0,48167,48026,47880,47704,47544,47346,47120,46850,46594,46399,46277,46108,45932,45771,45686,45617,45532,45437,45344,45252,45224
-12000,1,16707,16906,17080,17290,17500,17708,17908,18096,18291,18496,18697,18907,19114,19324,19530,19729,19923,20133,20338,20548,20758
0,1,16730,16933,17115,17319,17518,17728,17938,18148,18358,18561,18769,18973,19181,19391,19601,19811,20015,20225,20430,20625,20821
12000,1,46536,46455,46367,46288,46208,46128,46054,46001,45945,45870,45818,45780,45735,45689,45634,45569,45521,45494,45427,45399,45355
-12000,2,16735,16945,17155,17365,17575,17784,17982,18192,18394,18604,18814,19020,19226,19435,19645,19855,20065,20266,20476,20686,20885
0,2,47639,47630,47619,47595,47570,47565,47588,47601,47611,47621,47628,47643,47658,47658,47660,47644,47630,47620,47598,47574,47518
12000,2,46468,46359,46279,46216,46148,46035,45921,45858,45838,45826,45718,45551,45448,45535,45646,45693,45645,45567,45570,45535,45469
-12000,3,44689,44682,44711,44719,44705,44705,44695,44691,44670,44645,44616,44657,44664,44678,44684,44677,44661,44638,44654,44677,44679
0,3,16681,16891,17098,17308,17505,17715,17918,18124,18331,18541,18728,18935,19143,19349,19559,19767,19977,20187,20397,20607,20813
12000,3,16705,16911,17112,17322,17530,17740,17950,18155,18350,18548,18752,18957,19166,19368,19578,19784,19994,20204,20408,20607,20813
-12000,4,45160,45133,45106,45082,45057,45104,45144,45140,45138,45119,45103,45136,45170,45160,45130,45096,45064,45055,45089,45118,45132
0,4,45290,45214,45200,45177,45140,45116,45086,45065,45078,45136,45138,45122,45099,45051,45033,45048,45092,45118,45108,45099,45067
12000,4,16701,16911,17116,17323,17524,17725,17933,18136,18340,18541,18742,18952,19160,19370,19574,19784,19994,20204,20403,20613,20823
-12000,5,16633,16842,17029,17239,17441,17651,17861,18071,18280,18485,18695,18901,19104,19309,19518,19711,19918,20128,20338,20539,20749
0,5,16711,16921,17116,17321,17523,17733,17941,18151,18361,18566,18776,18986,19192,19399,19599,19787,19997,20202,20412,20616,20823
12000,5,16715,16922,17112,17322,17532,17742,17952,18162,18372,18582,18792,19002,19212,19422,19627,19835,20042,20252,20462,20658,20868
