y_offset,pass,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
-3000,0,46283,46257,46226,46209,46231,46248,46229,46206,46177,46132,46085,46038,45987,45918,45898,45941,45975,46006,46042,46070,46099
0,0,42563,42534,42521,42500,42500,42504,42503,42494,42450,42443,42425,42418,42416,42408,42414,42419,42432,42431,42416,42407,42388
3000,0,41544,41527,41520,41506,41498,41493,41482,41457,41438,41413,41392,41393,41388,41395,41392,41395,41405,41413,41411,41412,41409
-3000,1,16731,16936,17139,17349,17556,17760,17970,18176,18386,18586,18792,19000,19189,19393,19603,19813,20019,20228,20431,20633,20843
0,1,43152,43144,43132,43121,43106,43092,43080,43066,43053,43039,43031,43026,43022,43022,43027,43020,43013,43006,43003,42994,42983
3000,1,41502,41495,41477,41452,41429,41413,41401,41390,41397,41404,41413,41417,41417,41423,41431,41433,41436,41443,41449,41451,41449
-3000,2,45568,45615,45676,45724,45767,45801,45815,45819,45824,45823,45820,45810,45801,45790,45780,45775,45767,45760,45753,45749,45743
0,2,42396,42394,42390,42386,42379,42376,42374,42365,42358,42351,42348,42345,42340,42340,42340,42336,42338,42339,42336,42337,42336
3000,2,41296,41267,41254,41241,41225,41205,41186,41176,41165,41141,41118,41100,41093,41098,41099,41099,41095,41092,41093,41082,41076
-3000,3,16742,16950,17155,17365,17575,17785,17993,18203,18406,18597,18807,19015,19221,19430,19633,19843,20050,20257,20467,20673,20882
0,3,16701,16905,17106,17316,17523,17733,17916,18120,18330,18540,18750,18960,19170,19379,19589,19795,19996,20203,20405,20615,20820
3000,3,41717,41718,41698,41676,41658,41639,41630,41617,41616,41613,41609,41602,41598,41590,41585,41578,41579,41580,41578,41578,41569
-3000,4,46464,46438,46418,46401,46372,46334,46307,46276,46254,46217,46183,46167,46148,46131,46122,46115,46102,46081,46056,46047,46039
0,4,42769,42771,42772,42761,42735,42741,42767,42795,42810,42811,42814,42817,42822,42822,42829,42836,42845,42847,42848,42853,42861
3000,4,41004,40994,40979,40959,40956,40969,40980,40987,40979,40976,40971,40959,40953,40946,40945,40943,40933,40928,40931,40936,40932
-3000,5,16750,16959,17169,17375,17585,17795,18000,18204,18414,18624,18829,19039,19245,19455,19664,19874,20080,20290,20499,20702,20909
0,5,43079,43067,43057,43049,43041,43034,43031,43063,43090,43114,43133,43144,43149,43165,43187,43204,43212,43204,43192,43178,43163
3000,5,41216,41212,41205,41200,41147,41114,41099,41089,41087,41088,41095,41102,41101,41094,41092,41093,41093,41100,41102,41103,41100
