t,axis,amp,i_minus,i_plus
1789786278.575,X,15000,25.5,22.5
1789786278.586,X,15000,31.0,158.5
1789786278.597,X,15000,38.5,46.5
1789786278.611,Z,20000,50.5,12.5
1789786278.622,Z,20000,25.0,18.0
1789786278.633,Z,20000,17.5,25.0
1789786278.644,Z,20000,30.0,52.0
1789786278.655,Z,20000,21.5,7.5
1789786278.666,Z,20000,49.5,1264.0
1789786278.676,Z,20000,-1.5,93.5
1789786278.686,Z,20000,139.5,49.5
1789786278.697,Z,20000,19.5,5.5
1789786278.708,Z,20000,-17.0,13.5
1789786278.718,Z,20000,45.0,17.5
1789786278.729,Z,20000,0.0,-13.5
1789786278.739,Z,20000,-24.5,46.0
1789786278.75,Z,20000,-53.0,380.0
1789786278.76,Z,20000,-9.5,6301.5
1789786278.771,Z,20000,9.5,53.0
1789786278.782,Z,20000,2.5,59.5
1789786278.793,Z,20000,20.0,34.0
1789786278.804,Z,20000,-31.0,30.5
1789786278.814,Z,20000,40.0,22.5
1789786278.825,Z,20000,16.5,-15.5
1789786278.837,Z,20000,-31.5,33.0
1789786278.848,Z,20000,9.5,11.5
1789786278.859,Z,20000,-5.5,-9.5
1789786278.869,Z,20000,-7.0,3.0
1789786278.88,Z,20000,-15.5,-15.5
1789786278.89,Z,20000,32.5,32.0
1789786278.9,Z,20000,6559.0,25.5
1789786278.913,Z,20000,48.0,-11.0
1789786278.926,Z,20000,-11.0,10.0
