t,value
0.12618,32767
0.12648,32767
0.12679,32767
0.12708,32767
0.12732,32767
0.12757,32767
0.12783,32767
0.12815,32767
0.12840,32767
0.12865,32767
0.12890,32767
0.12915,32767
0.12940,32767
0.12965,32767
0.12990,32767
0.13018,32767
0.13045,32767
0.13070,32767
0.13094,32767
0.13120,32767
0.13144,32767
0.13170,32767
0.13196,32767
0.13222,32767
0.13247,32767
0.13272,32767
0.13297,32767
0.13323,32767
0.13347,32767
0.13371,32767
0.13397,32767
0.13421,32767
0.13446,32767
0.13471,32767
0.13499,32767
0.13530,32767
0.13555,32767
0.13580,32767
0.13605,32767
0.13633,32767
0.13660,32767
0.13686,32767
0.13711,32767
0.13741,32767
0.13766,32767
0.13795,32767
0.13822,32767
0.13847,32767
0.13872,32767
0.13898,32767
0.13929,32767
0.13957,32767
0.13983,32767
0.14010,32767
0.14040,32767
0.14070,32767
0.14099,32767
0.14131,32767
0.14159,32767
0.14185,32767
0.14211,32767
0.14241,32767
0.14270,32767
0.14295,32767
0.14324,32767
0.14354,32767
0.14381,32767
0.14408,32767
0.14433,32767
0.14462,32767
0.14493,32767
0.14521,32767
0.14549,32767
0.14579,32767
0.14608,32767
0.14637,32767
0.14670,32767
0.14699,32767
0.14731,32767
0.14760,32767
0.14789,32767
0.14818,32767
0.14843,32767
0.14873,32767
0.14902,32767
0.14931,32767
0.14960,32767
0.14988,32767
0.15018,32767
0.15047,32767
0.15077,32767
0.15105,32767
0.15131,32767
0.15162,32767
0.15194,32767
0.15221,32767
0.15248,32767
0.15275,32767
0.15305,32767
0.15335,32767
0.15360,32767
0.15391,32767
0.15420,32767
0.15449,32767
0.15481,32767
0.15510,32767
0.15539,32767
0.15570,32767
0.15600,32767
0.15631,32767
0.15660,32767
0.15688,32767
0.15718,32767
0.15747,32767
0.15776,32767
0.15807,32767
0.15850,32767
0.15885,32767
0.15912,32767
0.15941,32767
0.15969,32767
0.15996,32767
0.16025,32767
0.16053,32767
0.16078,32767
0.16107,32767
0.16133,32767
0.16161,32767
0.16195,32767
0.16220,32767
0.16245,32767
0.16271,32767
0.16297,32767
0.16321,32767
0.16347,32767
0.16371,32767
0.16399,32767
0.16433,32767
0.16462,32767
0.16495,32767
0.16520,32767
0.16545,32767
0.16570,32767
0.16597,32767
0.16623,32767
0.16649,32767
0.16680,32767
0.16705,32767
0.16733,32767
0.16757,32767
0.16782,32767
0.16807,32767
0.16833,32767
0.16860,32767
0.16889,32767
0.16915,32767
0.16941,32767
0.16966,32767
0.16991,32767
0.17018,32767
0.17045,32767
0.17070,32767
0.17095,32767
0.17120,32767
0.17145,32767
0.17174,32767
0.17207,32767
0.17233,32767
0.17261,32767
0.17293,32767
0.17318,32767
0.17360,32767
0.17388,32767
0.17422,32767
0.17459,32767
0.17495,32767
0.17530,32767
0.17558,32767
0.17583,32767
0.17613,32767
0.17645,32767
0.17672,32767
0.17701,32767
0.17729,32767
0.17759,32767
0.17786,32767
0.17817,32767
0.17845,32767
0.17875,32767
0.17908,32767
0.17935,32767
0.17963,32767
0.17993,32767
0.18022,32767
0.18052,32767
0.18081,32767
0.18110,32767
0.18140,32767
0.18168,32767
0.18197,32767
0.18227,32767
0.18256,32767
0.18285,32767
0.18313,32767
0.18341,32767
0.18370,32767
0.18400,32767
0.18433,32767
0.18458,32767
0.18485,32767
0.18514,32767
0.18541,32767
0.18569,32767
0.18595,32767
0.18625,32767
0.18656,32767
0.18685,32767
0.18708,32767
0.18737,32767
0.18771,32767
0.18799,32767
0.18834,32767
0.18862,32767
0.18893,32767
0.18922,32767
0.18951,32767
0.18981,32767
0.19010,32767
