t,leg,z,mean
1789781531.054,down0,50000,1577
1789781531.07,down0,49000,21158
1789781531.084,up0,49000,32767
1789781531.098,up0,50000,29558
1789781531.113,down1,50000,27047
1789781531.132,up1,50000,31903
1789781531.148,down2,50000,30645
1789781531.163,up2,50000,31860
