y,dir,31268,31418,31568,31718,31868,32018,32168,32318,32468,32618,32768,32918,33068,33218,33368,33518,33668,33818,33968,34118,34268
31268,fwd,12201,12406,12616,12817,13019,13223,13427,13631,13829,14034,14244,14454,14660,14870,15080,15285,15495,15705,15915,16118,16328
31268,back,20628,20418,20241,20031,19826,19621,19437,19227,19025,18815,18606,18399,18189,17991,17781,17571,17361,17155,16952,16748,16538
31568,fwd,20824,21023,21228,21429,21630,21825,22035,22238,22448,22655,22858,23068,23278,23488,23698,23908,24097,24303,24511,24721,24931
31568,back,29210,29005,28806,28596,28386,28176,27979,27770,27560,27355,27145,26935,26726,26540,26339,26142,25937,25727,25517,25315,25122
31868,fwd,29398,29608,29801,30009,30195,30397,30607,30793,30998,31208,31412,31612,31818,32025,32235,32445,32651,32851,33044,33254,33464
31868,back,37765,37555,37345,37141,36936,36736,36526,36317,36109,35901,35691,35503,35307,35101,34902,34698,34488,34286,34084,33878,33669
32168,fwd,37964,38071,37801,37531,37261,36996,36892,37038,37160,37253,37260,37246,37219,37215,37231,37272,37321,37367,37402,37425,37433
32168,back,37002,37022,37078,37122,37160,37200,37204,37197,37185,37182,37171,37156,37211,37213,37242,37250,37274,37317,37364,37396,37418
32468,fwd,36951,36971,37037,37070,37099,37091,37103,37129,37153,37151,37195,37206,37204,37165,37190,37226,37272,37286,37359,37342,37221
32468,back,36976,36952,36934,36926,36934,36949,36958,37005,37082,37090,37097,37099,37098,37084,37094,37102,37024,36984,36994,37054,37138
32768,fwd,36971,36927,36882,36849,36862,36883,36921,36936,36969,36994,37025,37057,37110,37177,37244,37313,37379,37426,37442,37472,37474
32768,back,36873,36875,36867,36839,36813,36785,36799,36804,36844,36885,36915,36972,37057,37143,37209,37261,37320,37371,37408,37442,37470
33068,fwd,36871,36841,36836,36825,36825,36849,36877,36904,36949,37027,37114,37213,37308,37391,37443,37455,37501,37504,37382,37318,37254
33068,back,36844,36836,36860,36873,36886,36891,36896,36888,36896,36900,36902,36921,36931,36932,36942,36976,37072,37110,37137,37170,37208
33368,fwd,36832,36835,36860,36895,36956,37039,37102,37158,37195,37211,37201,37194,37215,37254,37274,37303,37331,37332,37329,37347,37350
33368,back,36768,36778,36784,36790,36806,36802,36795,36797,36798,36808,36825,36866,36968,37040,37079,37108,37138,37180,37219,37264,37319
33668,fwd,36777,36803,36856,36918,36988,37067,37022,36959,36907,36899,36929,37021,37164,37242,37301,37341,37337,37316,37256,37205,37166
33668,back,36813,36841,36863,36896,36922,36926,36946,36986,37047,37137,37173,37199,37229,37183,37139,37126,37102,37043,37009,37072,37151
33968,fwd,36804,36798,36829,36872,36933,37054,37146,37215,37213,37222,37198,37195,37219,37141,37081,37026,36975,36951,36984,37087,37182
33968,back,36899,36911,36930,36961,37008,37045,37094,37088,37076,37029,36946,36899,36888,36977,36979,37000,37022,37068,37182,37250,37239
34268,fwd,36881,36866,36848,36825,36808,36820,36878,36948,36994,37053,37093,37074,37000,36952,36904,36859,36860,36920,37040,37186,37280
34268,back,37001,37005,37033,37078,37097,37078,37033,36988,36955,36882,36788,36788,36833,36860,36949,37118,37273,37380,37386,37396,37377
