t,leg,z,mean
1789782608.237,down0,31400,30
1789782608.261,down0,31300,46
1789782608.284,down0,31200,34
1789782608.307,down0,31100,61
1789782608.33,down0,31000,44
1789782608.354,down0,30900,36
1789782608.376,down0,30800,34
1789782608.399,down0,30700,39
1789782608.422,down0,30600,43
1789782608.445,down0,30500,37
1789782608.468,down0,30400,30
1789782608.491,down0,30300,26
1789782608.515,down0,30200,32
1789782608.539,down0,30100,12
1789782608.56,down0,30000,42
1789782608.583,down0,29900,32
1789782608.605,down0,29800,34
1789782608.629,down0,29700,35
1789782608.65,down0,29600,20
1789782608.673,down0,29500,34
1789782608.695,down0,29400,36
1789782608.716,down0,29300,25
1789782608.737,down0,29200,29
1789782608.758,down0,29100,27
1789782608.779,down0,29000,35
1789782608.802,down0,28900,40
1789782608.825,down0,28800,32
1789782608.85,down0,28700,24
1789782608.873,down0,28600,16
1789782608.895,down0,28500,35
1789782608.918,down0,28400,34
1789782608.941,down0,28300,46
1789782608.967,down0,28200,37
1789782608.99,down0,28100,30
1789782609.014,down0,28000,25
1789782609.037,down0,27900,23
1789782609.06,down0,27800,40
1789782609.085,down0,27700,30
1789782609.107,down0,27600,35
1789782609.131,down0,27500,34
1789782609.154,down0,27400,38
1789782609.178,down0,27300,45
1789782609.201,down0,27200,26
1789782609.227,down0,27100,28
1789782609.251,down0,27000,27
1789782609.275,down0,26900,26
1789782609.299,down0,26800,55
1789782609.322,down0,26700,36
1789782609.345,down0,26600,42
1789782609.368,down0,26500,40
1789782609.39,down0,26400,38
1789782609.413,down0,26300,33
1789782609.435,down0,26200,41
1789782609.458,down0,26100,42
1789782609.481,down0,26000,37
1789782609.505,down0,25900,42
1789782609.528,down0,25800,41
1789782609.553,down0,25700,42
1789782609.576,down0,25600,40
1789782609.597,down0,25500,44
1789782609.621,down0,25400,47
1789782609.644,down0,25300,36
1789782609.665,down0,25200,38
1789782609.689,down0,25100,32
1789782609.712,down0,25000,46
1789782609.734,down0,24900,38
1789782609.757,down0,24800,26
1789782609.781,down0,24700,45
1789782609.803,down0,24600,33
1789782609.826,down0,24500,34
1789782609.849,down0,24400,27
1789782609.872,down0,24300,41
1789782609.898,down0,24200,30
1789782609.922,down0,24100,47
1789782609.945,down0,24000,41
1789782609.968,down0,23900,48
1789782609.993,down0,23800,58
1789782610.017,down0,23700,45
1789782610.04,down0,23600,59
1789782610.063,down0,23500,51
1789782610.087,down0,23400,61
1789782610.11,down0,23300,44
1789782610.134,down0,23200,41
1789782610.16,down0,23100,47
1789782610.184,down0,23000,42
1789782610.209,down0,22900,47
1789782610.233,down0,22800,40
1789782610.257,down0,22700,22
1789782610.282,down0,22600,10
1789782610.305,down0,22500,15
1789782610.328,down0,22400,28
1789782610.351,down0,22300,27
1789782610.373,down0,22200,24
1789782610.399,down0,22100,19
1789782610.424,down0,22000,17
1789782610.448,down0,21900,29
1789782610.471,down0,21800,7
1789782610.496,down0,21700,26
1789782610.52,down0,21600,27
1789782610.544,down0,21500,12
1789782610.568,down0,21400,13
1789782610.589,down0,21300,33
1789782610.611,down0,21200,16
1789782610.634,down0,21100,25
1789782610.656,down0,21000,24
1789782610.679,down0,20900,14
1789782610.703,down0,20800,7
1789782610.726,down0,20700,17
1789782610.748,down0,20600,30
1789782610.771,down0,20500,29
1789782610.793,down0,20400,27
1789782610.816,down0,20300,21
1789782610.839,down0,20200,26
1789782610.863,down0,20100,28
1789782610.886,down0,20000,17
1789782610.909,down0,19900,37
1789782610.931,down0,19800,26
1789782610.954,down0,19700,20
1789782610.976,down0,19600,21
1789782610.999,down0,19500,20
1789782611.02,down0,19400,21
1789782611.043,down0,19300,26
1789782611.066,down0,19200,25
1789782611.09,down0,19100,31
1789782611.112,down0,19000,26
1789782611.134,down0,18900,37
1789782611.155,down0,18800,13
1789782611.178,down0,18700,23
1789782611.201,down0,18600,31
1789782611.224,down0,18500,34
1789782611.25,down0,18400,34
1789782611.275,down0,18300,30
1789782611.299,down0,18200,28
1789782611.321,down0,18100,20
1789782611.344,down0,18000,4
1789782611.367,down0,17900,13
1789782611.389,down0,17800,24
1789782611.412,down0,17700,29
1789782611.435,down0,17600,29
1789782611.458,down0,17500,31
1789782611.481,down0,17400,27
1789782611.504,down0,17300,17
1789782611.527,down0,17200,21
1789782611.551,down0,17100,22
1789782611.574,down0,17000,24
1789782611.596,down0,16900,29
1789782611.62,down0,16800,39
1789782611.643,down0,16700,13
1789782611.665,down0,16600,16
1789782611.688,down0,16500,21
1789782611.71,down0,16400,24
1789782611.733,down0,16300,10
1789782611.756,down0,16200,29
1789782611.778,down0,16100,22
1789782611.8,down0,16000,23
1789782611.823,down0,15900,20
1789782611.845,down0,15800,26
1789782611.867,down0,15700,21
1789782611.89,down0,15600,16
1789782611.913,down0,15500,10
1789782611.936,down0,15400,31
1789782611.959,down0,15300,26
1789782611.982,down0,15200,17
1789782612.006,down0,15100,28
1789782612.03,down0,15000,12
1789782612.052,down0,14900,17
1789782612.077,down0,14800,9
1789782612.104,down0,14700,12
1789782612.129,down0,14600,23
1789782612.153,down0,14500,20
1789782612.179,down0,14400,29
1789782612.204,down0,14300,28
1789782612.23,down0,14200,28
1789782612.251,down0,14100,32
1789782612.276,down0,14000,22
1789782612.301,down0,13900,29
1789782612.325,down0,13800,14
1789782612.348,down0,13700,13
1789782612.371,down0,13600,22
1789782612.395,down0,13500,26
1789782612.42,down0,13400,27
1789782612.443,down0,13300,18
1789782612.466,down0,13200,23
1789782612.489,down0,13100,25
1789782612.511,down0,13000,20
1789782612.535,down0,12900,16
1789782612.557,down0,12800,26
1789782612.58,down0,12700,21
1789782612.604,down0,12600,24
1789782612.627,down0,12500,29
1789782612.649,down0,12400,24
1789782612.669,down0,12300,15
1789782612.692,down0,12200,5
1789782612.715,down0,12100,10
1789782612.737,down0,12000,16
1789782612.76,down0,11900,16
1789782612.783,down0,11800,24
1789782612.805,down0,11700,24
1789782612.828,down0,11600,18
1789782612.85,down0,11500,27
1789782612.874,down0,11400,25
1789782612.899,down0,11300,14
1789782612.924,down0,11200,30
1789782612.945,down0,11100,19
1789782612.968,down0,11000,24
1789782612.993,down0,10900,25
1789782613.016,down0,10800,27
1789782613.037,down0,10700,27
1789782613.06,down0,10600,22
1789782613.083,down0,10500,20
1789782613.107,down0,10400,27
1789782613.131,down0,10300,17
1789782613.155,down0,10200,37
1789782613.178,down0,10100,26
1789782613.202,down0,10000,18
1789782613.225,down0,9900,21
1789782613.249,down0,9800,29
1789782613.271,down0,9700,32
1789782613.294,down0,9600,14
1789782613.317,down0,9500,22
1789782613.341,down0,9400,25
1789782613.365,down0,9300,30
1789782613.392,down0,9200,17
1789782613.416,down0,9100,33
1789782613.438,down0,9000,22
1789782613.46,down0,8900,20
1789782613.482,down0,8800,11
1789782613.505,down0,8700,18
1789782613.528,down0,8600,12
1789782613.551,down0,8500,22
1789782613.573,down0,8400,16
1789782613.594,down0,8300,24
1789782613.618,down0,8200,10
1789782613.639,down0,8100,22
1789782613.661,down0,8000,22
1789782613.684,down0,7900,26
1789782613.71,down0,7800,25
1789782613.735,down0,7700,4
1789782613.757,down0,7600,15
1789782613.781,down0,7500,20
1789782613.805,down0,7400,35
1789782613.829,down0,7300,13
1789782613.852,down0,7200,32
1789782613.874,down0,7100,25
1789782613.897,down0,7000,30
1789782613.918,down0,6900,27
1789782613.941,down0,6800,26
1789782613.964,down0,6700,31
1789782613.988,down0,6600,27
1789782614.011,down0,6500,19
1789782614.037,down0,6400,22
1789782614.061,down0,6300,24
1789782614.085,down0,6200,15
1789782614.107,down0,6100,20
1789782614.131,down0,6000,9
1789782614.154,down0,5900,21
1789782614.178,down0,5800,23
1789782614.2,down0,5700,40
1789782614.222,down0,5600,11
1789782614.245,down0,5500,22
1789782614.268,down0,5400,24
1789782614.292,down0,5300,20
1789782614.316,down0,5200,14
1789782614.341,down0,5100,17
1789782614.367,down0,5000,19
1789782614.39,down0,4900,25
1789782614.414,down0,4800,32
1789782614.438,down0,4700,19
1789782614.46,down0,4600,16
1789782614.483,down0,4500,16
1789782614.505,down0,4400,27
1789782614.528,down0,4300,15
1789782614.55,down0,4200,15
1789782614.573,down0,4100,27
1789782614.595,down0,4000,11
1789782614.619,down0,3900,14
1789782614.64,down0,3800,14
1789782614.662,down0,3700,27
1789782614.685,down0,3600,24
1789782614.708,down0,3500,28
1789782614.73,down0,3400,23
1789782614.753,down0,3300,24
1789782614.776,down0,3200,20
1789782614.799,down0,3100,18
1789782614.823,down0,3000,27
1789782614.845,down0,2900,22
1789782614.869,down0,2800,26
1789782614.889,down0,2700,16
1789782614.912,down0,2600,27
1789782614.935,down0,2500,29
1789782614.958,down0,2400,15
1789782614.98,down0,2300,22
1789782615.003,down0,2200,19
1789782615.028,down0,2100,21
1789782615.051,down0,2000,8
1789782615.074,down0,1900,18
1789782615.095,down0,1800,37
1789782615.116,down0,1700,28
1789782615.138,down0,1600,16
1789782615.159,down0,1500,26
1789782615.179,down0,1400,27
1789782615.2,down0,1300,26
1789782615.221,down0,1200,26
1789782615.244,down0,1100,28
1789782615.267,down0,1000,17
1789782615.29,down0,900,26
1789782615.313,down0,800,22
1789782615.334,down0,700,18
1789782615.356,down0,600,20
1789782615.378,down0,500,22
1789782615.399,down0,400,20
1789782615.42,down0,300,25
1789782615.441,down0,200,20
1789782615.463,down0,100,16
1789782615.484,down0,0,23
1789782615.505,up0,0,19
1789782615.526,up0,100,25
1789782615.547,up0,200,27
1789782615.568,up0,300,27
1789782615.589,up0,400,20
1789782615.609,up0,500,25
1789782615.629,up0,600,23
1789782615.649,up0,700,26
1789782615.671,up0,800,19
1789782615.692,up0,900,27
1789782615.713,up0,1000,30
1789782615.737,up0,1100,23
1789782615.758,up0,1200,28
1789782615.779,up0,1300,23
1789782615.802,up0,1400,16
1789782615.823,up0,1500,22
1789782615.844,up0,1600,21
1789782615.868,up0,1700,12
1789782615.891,up0,1800,25
1789782615.914,up0,1900,16
1789782615.936,up0,2000,29
1789782615.957,up0,2100,23
1789782615.979,up0,2200,27
1789782616.0,up0,2300,19
1789782616.021,up0,2400,31
1789782616.043,up0,2500,26
1789782616.063,up0,2600,23
1789782616.085,up0,2700,34
1789782616.109,up0,2800,32
1789782616.131,up0,2900,27
1789782616.154,up0,3000,21
1789782616.177,up0,3100,14
1789782616.199,up0,3200,23
1789782616.223,up0,3300,33
1789782616.249,up0,3400,20
1789782616.274,up0,3500,8
1789782616.299,up0,3600,8
1789782616.322,up0,3700,27
1789782616.348,up0,3800,19
1789782616.372,up0,3900,20
1789782616.396,up0,4000,21
1789782616.42,up0,4100,35
1789782616.445,up0,4200,29
1789782616.468,up0,4300,12
1789782616.492,up0,4400,24
1789782616.514,up0,4500,28
1789782616.537,up0,4600,33
1789782616.559,up0,4700,19
1789782616.583,up0,4800,26
1789782616.605,up0,4900,13
1789782616.629,up0,5000,28
1789782616.652,up0,5100,13
1789782616.675,up0,5200,19
1789782616.7,up0,5300,19
1789782616.722,up0,5400,33
1789782616.745,up0,5500,15
1789782616.769,up0,5600,34
1789782616.791,up0,5700,27
1789782616.813,up0,5800,33
1789782616.84,up0,5900,31
1789782616.864,up0,6000,18
