y,dir,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
17768,fwd,54780,54951,55139,55283,55493,55606,55806,55886,55933,56027,56142,56181,56179,56221,56213,56189,56213,56004,55747,55477,55207
17768,back,54916,54844,54710,54625,54518,54385,54257,54132,53977,53767,53568,53358,53268,53331,53408,53587,53857,54127,54397,54667,54937
