y,dir,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
17768,fwd,50114,50044,50195,50182,50270,50324,50424,50521,50590,50716,50809,50897,50959,51109,51279,51456,51629,51816,52015,52214,52424
17768,back,56052,55983,55896,55813,55701,55575,55457,55313,55124,54924,54714,54504,54294,54085,53875,53666,53456,53253,53051,52841,52631
20768,fwd,55871,55641,55382,55112,54842,54572,54302,54032,53762,53492,53222,52952,52682,52412,52142,51912,51746,51670,51598,51540,51520
20768,back,51685,51676,51667,51662,51658,51644,51631,51615,51600,51587,51574,51572,51563,51559,51546,51536,51529,51526,51520,51514,51514
23768,fwd,51496,51226,50956,50686,50416,50146,49876,49606,49336,49070,48940,48847,48772,48724,48694,48674,48651,48643,48639,48638,48635
23768,back,48836,48809,48779,48747,48726,48707,48685,48664,48632,48611,48598,48588,48590,48602,48622,48641,48649,48637,48627,48627,48628
26768,fwd,48657,48538,48423,48312,48166,47978,47805,47667,47519,47377,47266,47191,47162,47123,47090,47029,46983,46966,46975,46932,46884
26768,back,46355,46357,46351,46355,46365,46384,46394,46399,46408,46423,46435,46445,46451,46458,46483,46516,46557,46615,46672,46744,46817
29768,fwd,46483,46614,46639,46580,46489,46431,46302,46195,46118,46064,46026,46045,46042,46084,46059,46059,46052,46022,45950,45939,45901
29768,back,45724,45726,45724,45727,45726,45723,45718,45707,45692,45668,45636,45596,45565,45537,45531,45554,45573,45598,45683,45829,45859
32768,fwd,45893,46091,46296,46396,46446,46416,46343,46266,46176,46101,46060,45986,45815,45705,45668,45649,45632,45621,45608,45609,45608
32768,back,45679,45678,45671,45667,45665,45660,45656,45653,45648,45644,45635,45632,45626,45617,45606,45603,45599,45596,45599,45603,45605
35768,fwd,45835,46045,46250,46399,46471,46484,46448,46379,46333,46281,46256,46222,46197,46183,46160,46145,46122,46123,46108,46109,46108
35768,back,45814,45804,45818,45826,45848,45868,45878,45887,45902,45897,45912,45926,45937,45957,45951,45970,45987,46020,46053,46077,46104
38768,fwd,45964,46157,46360,46459,46509,46523,46440,46348,46203,45936,45807,45842,45878,45851,45813,45792,45791,45796,45852,45925,45945
38768,back,45848,45851,45846,45844,45844,45844,45851,45855,45854,45846,45834,45825,45816,45811,45818,45825,45840,45865,45897,45923,45940
41768,fwd,46004,46214,46417,46627,46810,46961,47009,46952,46869,46763,46684,46627,46582,46550,46524,46500,46491,46479,46462,46431,46393
41768,back,45926,45922,45914,45902,45899,45892,45888,45873,45857,45848,45838,45827,45818,45809,45824,45847,45879,45925,46003,46105,46221
44768,fwd,46096,46306,46516,46717,46800,46753,46656,46626,46588,46559,46578,46538,46550,46540,46552,46506,46496,46492,46487,46492,46482
44768,back,46080,46075,46052,46069,46073,46075,46087,46089,46109,46138,46184,46233,46303,46334,46347,46372,46395,46408,46443,46469,46489
47768,fwd,46243,46453,46648,46608,46501,46564,46681,46524,46425,46456,46638,46551,46459,46374,46502,46649,46539,46424,46392,46594,46611
47768,back,46391,46245,46391,46586,46543,46333,46322,46470,46559,46358,46323,46474,46583,46482,46277,46335,46452,46590,46412,46343,46508
