y,dir,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
17768,fwd,47830,47864,48070,48274,48472,48679,48884,49090,49300,49502,49706,49890,50100,50309,50519,50685,50855,50949,50902,50723,50456
17768,back,51443,51609,51568,51531,51440,51266,51069,50867,50668,50458,50248,50049,49865,49716,49566,49447,49342,49401,49649,49916,50186
20768,fwd,51495,51624,51733,51925,52128,52317,52506,52662,52802,52872,53035,53154,53046,52799,52529,52259,51989,51719,51449,51179,50917
20768,back,51758,51787,51714,51544,51397,51326,51166,50956,50746,50537,50327,50176,50002,49960,49902,49915,49958,50031,50165,50401,50647
