y,dir,32368,32468,32568,32668,32768,32868,32968,33068,33168
32368,fwd,39735,39079,39043,38814,38743,38695,38632,38576,38528
32368,back,38402,38395,38398,38399,38425,38412,38427,38476,38490
32501,fwd,38417,38404,38389,38381,38406,38417,38411,38415,38400
32501,back,38424,38478,38475,38485,38460,38448,38451,38406,38375
32635,fwd,38406,38340,38330,38291,38187,38165,38126,38103,38002
32635,back,37910,37915,37972,37960,37989,38010,38010,38005,37980
32768,fwd,37909,37938,37876,37873,37782,37730,37709,37693,37660
32768,back,37789,37786,37784,37737,37759,37784,37734,37735,37700
32901,fwd,37766,37776,37755,37723,37718,37653,37562,37542,37505
32901,back,37297,37303,37315,37353,37365,37434,37426,37442,37467
33035,fwd,37198,37099,37081,37004,37002,36934,36967,36926,36962
33035,back,36879,36895,36872,36925,36779,36830,36830,36881,36919
33168,fwd,36792,36783,36789,36757,36734,36721,36693,36670,36637
33168,back,36710,36715,36737,36706,36657,36707,36694,36687,36691
