y_offset,pass,24768,25568,26368,27168,27968,28768,29568,30368,31168,31968,32768,33568,34368,35168,35968,36768,37568,38368,39168,39968,40768
-4000,0,36806,37822,37699,36964,37336,36573,36433,36186,36191,35918,35800,35751,35624,35419,35480,34935,35842,36481,37491,37304,37354
0,0,40912,40186,40383,40488,40231,39988,39975,40048,39983,39858,39619,39357,39148,38988,38879,38834,38868,38778,38616,38318,37964
4000,0,38390,39387,40369,41541,42061,42077,40630,40306,40323,39944,39794,39744,39668,39948,39916,39630,39453,39247,39151,38966,39012
-4000,1,40263,40698,40224,39773,39254,39167,39053,38904,38726,38644,38572,38483,38409,38357,38226,38055,37946,37888,37796,37645,37545
0,1,38672,38321,38478,38373,38227,38098,37939,37799,37802,37662,37450,37332,37230,37069,36966,36902,36878,36661,36880,36791,36546
4000,1,37331,37533,36803,36795,36733,36579,36436,36340,36180,36055,35952,35771,35582,35410,35224,35619,36090,36546,37835,38289,37731
-4000,2,39238,39772,40073,40153,40075,40124,38592,38340,38175,38183,38094,38014,37744,38246,37932,37854,37651,37579,37450,37348,37412
0,2,38631,39262,39147,38874,38654,38564,38511,38370,38289,38173,38155,38050,37964,37865,37784,37646,37468,37305,37215,37070,36955
4000,2,38137,38693,39448,40457,40812,40728,40503,40243,39976,39594,39265,39132,39126,39106,39180,39084,39063,38657,38470,38254,38146
-4000,3,39780,40107,40003,40132,40361,40228,39766,39232,39350,39410,39415,39325,39316,39192,39219,39035,38980,38796,38441,38036,37920
0,3,40182,40724,40634,40356,40328,40274,40276,40292,40167,39813,39457,39220,38993,38835,38655,38691,38789,38833,38921,38316,37947
4000,3,39386,39930,39826,39765,39416,39476,39162,38845,38681,38571,38420,38338,38169,38039,37740,37544,38021,37804,37319,37237,37101
-4000,4,39724,40882,41611,41346,41277,41226,41500,41500,40835,40585,40533,40936,40852,40859,40558,38867,39644,39470,37579,38251,37489
0,4,39686,40877,40590,40468,40366,40253,40244,40133,40028,39908,39828,39728,39539,39374,39207,39161,39051,38763,38835,38692,38536
4000,4,39296,40235,40034,39209,40004,39957,39638,39462,39399,39281,39177,39023,38734,38386,38225,37640,38227,38074,37875,37752,37676
