y,dir,28768,29168,29568,29968,30368,30768,31168,31568,31968,32368,32768,33168,33568,33968,34368,34768,35168,35568,35968,36368,36768
28768,fwd,41056,39914,39721,39667,39396,39548,39303,39247,39204,39074,38989,39008,38881,38811,38349,39262,38987,38674,38565,38516,38571
28768,back,39183,39126,39117,39108,39040,38869,38933,38934,38903,38896,38816,38743,38699,38739,38740,38745,38707,38676,38657,38631,38560
30768,fwd,39052,38875,38969,38922,38606,38332,38392,38077,38102,38032,38010,38048,37880,37868,37783,37603,37720,37669,37551,37568,37521
30768,back,38170,38206,38243,38054,38058,38139,38120,38027,38028,38017,38012,37885,37799,37756,37693,37684,37604,37548,37499,37488,37521
32768,fwd,37760,37656,37555,37738,38414,37981,37436,38184,38847,38632,38429,38386,38319,38205,38178,38076,38019,37968,37906,37820,37545
32768,back,38824,38273,38606,38453,38459,38342,38301,38159,38168,38117,38092,38038,37986,37959,37849,37913,37812,37796,37640,37616,37554
34768,fwd,38293,38252,38199,38108,38003,37857,37942,37926,37796,37885,37834,37842,37486,37626,37495,37561,37540,37443,37280,37262,37011
34768,back,37848,37848,37781,37708,37626,37541,37504,37520,37456,37355,37321,37355,37308,37249,37110,37254,37180,37106,37181,36623,36895
36768,fwd,37557,37364,37359,37259,37271,37217,37206,37127,37012,36976,36938,36890,36848,36935,36801,36652,36780,36634,36439,36540,36779
36768,back,37186,37212,37289,37196,37117,37139,37039,37130,36939,36804,36875,36763,36812,36880,36907,37085,37010,36668,36751,36696,36650
