y,dir,32368,32408,32448,32488,32528,32568,32608,32648,32688,32728,32768,32808,32848,32888,32928,32968,33008,33048,33088,33128,33168
32368,fwd,45127,44854,44581,44399,44126,43853,43580,43360,43270,43190,43127,43139,43151,43172,43182,43197,43218,43234,43247,43255,43264
32368,back,42871,42883,42921,42953,42980,43005,43026,43060,43099,43143,43185,43233,43266,43255,43260,43269,43279,43274,43271,43273,43270
32441,fwd,42932,42952,42973,42992,43006,43010,42971,42908,42827,42742,42671,42600,42542,42490,42443,42418,42243,42068,41957,42035,42083
32441,back,42016,42075,42088,42163,42149,42131,42098,42066,42034,42015,42009,42011,42037,42053,42051,42050,42042,42039,41988,41997,42099
32513,fwd,41871,41639,41493,41613,41664,41676,41708,41711,41701,41699,41667,41657,41649,41629,41547,41498,41497,41484,41483,41505,41522
32513,back,41603,41604,41603,41590,41574,41563,41555,41546,41533,41516,41501,41503,41515,41526,41543,41560,41566,41567,41569,41554,41540
32586,fwd,41611,41606,41614,41610,41625,41634,41649,41670,41675,41703,41699,41697,41684,41674,41624,41549,41508,41510,41501,41494,41495
32586,back,41663,41641,41614,41596,41561,41540,41527,41509,41505,41503,41500,41491,41480,41475,41475,41478,41482,41474,41475,41471,41480
32659,fwd,41668,41682,41682,41556,41434,41356,41460,41669,41719,41719,41681,41640,41613,41591,41572,41578,41598,41654,41713,41742,41607
32659,back,41467,41457,41445,41472,41512,41507,41495,41504,41498,41493,41436,41391,41436,41402,41394,41404,41368,41369,41301,41384,41485
32732,fwd,41472,41497,41543,41589,41634,41654,41645,41631,41615,41605,41594,41590,41584,41578,41586,41598,41618,41654,41644,41626,41587
32732,back,41500,41491,41496,41495,41486,41471,41439,41431,41426,41421,41431,41400,41403,41379,41365,41361,41371,41412,41447,41495,41549
32804,fwd,41497,41498,41509,41528,41537,41542,41540,41546,41556,41563,41594,41601,41612,41590,41560,41547,41514,41488,41478,41486,41484
32804,back,41548,41542,41532,41522,41512,41509,41498,41486,41479,41494,41499,41493,41486,41494,41478,41464,41451,41449,41466,41469,41477
32877,fwd,41550,41560,41570,41570,41574,41579,41573,41616,41674,41707,41732,41743,41750,41751,41745,41727,41712,41697,41689,41684,41681
32877,back,41730,41724,41718,41708,41704,41705,41705,41704,41690,41698,41688,41701,41698,41696,41696,41681,41676,41667,41670,41661,41667
32950,fwd,41744,41754,41751,41750,41746,41741,41737,41727,41717,41710,41703,41696,41689,41687,41670,41661,41646,41652,41650,41655,41659
32950,back,41472,41473,41477,41494,41520,41557,41607,41660,41659,41652,41658,41644,41649,41649,41645,41638,41631,41634,41632,41648,41656
33023,fwd,41512,41538,41558,41565,41566,41554,41540,41535,41522,41519,41517,41514,41508,41496,41491,41483,41471,41459,41454,41445,41375
33023,back,41242,41251,41229,41218,41181,41143,41116,41120,41123,41131,41141,41134,41131,41133,41143,41158,41167,41202,41226,41264,41310
33095,fwd,41163,41091,40957,40838,40721,40617,40597,40548,40545,40557,40575,40596,40600,40608,40597,40593,40594,40580,40573,40558,40546
33095,back,41558,41558,41568,41549,41504,41429,41182,40812,40464,40462,40459,40467,40465,40471,40480,40486,40497,40506,40510,40519,40533
33168,fwd,41558,41585,41594,41544,41486,41445,41380,41309,41249,41177,41113,41059,41014,40966,40935,40902,40873,40843,40819,40802,40794
33168,back,40750,40743,40721,40715,40740,40754,40783,40810,40831,40848,40880,40903,40911,40887,40868,40845,40822,40803,40794,40798,40791
