y,dir,32368,32408,32448,32488,32528,32568,32608,32648,32688,32728,32768,32808,32848,32888,32928,32968,33008,33048,33088,33128,33168
32368,fwd,40456,40430,39181,38907,38890,38867,38839,38852,38828,38782,38692,38535,38534,38530,38505,38504,38514,38540,38494,38455,38454
32368,back,38271,38252,38263,38231,38312,38315,38301,38304,38296,38273,38263,38263,38274,38254,38279,38276,38370,38435,38455,38472,38472
32482,fwd,38257,38239,38211,38207,38206,38191,38189,38177,38194,38178,38169,38134,38160,38117,38098,38093,38073,38074,38079,38075,38065
32482,back,38093,38082,38064,38071,38069,38071,38063,38041,38050,38049,38030,38061,38085,38071,38055,38078,38062,38071,38065,38068,38041
32597,fwd,38062,38047,38042,38047,38009,38014,38003,37974,37975,37961,37958,37949,37936,37949,37926,37918,37898,37893,37906,37892,37889
32597,back,37951,37935,37899,37905,37958,37962,37947,37946,37944,37941,37937,37931,37930,37905,37894,37896,37877,37873,37908,37882,37891
32711,fwd,37926,37928,37936,37900,37914,37894,37894,37854,37845,37847,37835,37819,37811,37795,37804,37827,37820,37800,37785,37805,37801
32711,back,37825,37810,37818,37823,37843,37815,37823,37814,37816,37809,37797,37814,37816,37800,37811,37813,37782,37780,37804,37808,37808
32825,fwd,37794,37784,37785,37778,37785,37768,37785,37771,37746,37728,37732,37735,37716,37709,37693,37697,37702,37692,37677,37677,37683
32825,back,37716,37697,37696,37694,37698,37711,37699,37696,37686,37692,37676,37686,37673,37656,37654,37629,37636,37674,37685,37688,37669
32939,fwd,37698,37689,37680,37670,37650,37655,37658,37646,37623,37620,37625,37620,37608,37592,37581,37570,37559,37544,37543,37536,37556
32939,back,37594,37603,37585,37576,37573,37568,37555,37548,37556,37547,37554,37578,37570,37576,37543,37544,37539,37539,37539,37546,37548
33054,fwd,37578,37565,37579,37558,37552,37544,37519,37508,37507,37512,37502,37490,37480,37461,37452,37456,37449,37454,37428,37432,37427
33054,back,37548,37521,37520,37509,37479,37499,37494,37492,37460,37471,37446,37467,37454,37460,37434,37436,37444,37440,37421,37436,37431
33168,fwd,37541,37549,37443,37447,37436,37420,37442,37440,37422,37435,37409,37411,37412,37407,37390,37381,37400,37398,37396,37386,37371
33168,back,37398,37410,37459,37437,37414,37430,37424,37389,37368,37364,37357,37371,37405,37415,37422,37413,37423,37421,37404,37378,37375
