y,dir,32368,32468,32568,32668,32768,32868,32968,33068,33168
32368,fwd,42069,41721,41511,41396,41229,41142,40968,40842,40769
32368,back,40433,40428,40461,40463,40498,40576,40663,40693,40723
32501,fwd,40391,40367,40344,40305,40296,40277,40272,40261,40235
32501,back,40185,40186,40188,40207,40216,40212,40218,40209,40209
32635,fwd,40143,40131,40074,40046,40014,39955,39905,39851,39833
32635,back,39642,39667,39656,39652,39652,39715,39791,39772,39744
32768,fwd,39598,39481,39449,39420,39333,39257,39225,39198,39181
32768,back,39253,39232,39225,39230,39267,39274,39236,39191,39180
32901,fwd,39227,39146,39088,39073,39055,39041,39057,39088,39099
32901,back,38599,39279,39311,39291,39274,39236,39170,39155,39117
33035,fwd,38518,38533,38508,38464,38496,38520,38466,38457,38456
33035,back,38558,38582,38595,38495,38496,38470,38454,38460,38463
33168,fwd,38510,38499,38513,38516,38508,38488,38473,38426,38398
33168,back,38178,38181,38181,38196,38189,38193,38246,38270,38306
