y,dir,17768,19268,20768,22268,23768,25268,26768,28268,29768,31268,32768,34268,35768,37268,38768,40268,41768,43268,44768,46268,47768
17768,fwd,36060,36312,35410,34993,35407,35237,34991,34848,34545,34167,33948,33976,34083,34824,35062,34434,34399,34354,34287,33725,33579
17768,back,37816,37252,37176,36962,36692,35721,35321,35088,35550,35518,35360,35533,35439,35328,35067,35108,35002,34827,34601,34169,33557
21518,fwd,38553,38767,38713,38573,38654,38542,38271,37918,37636,37402,37311,37238,37180,37387,37427,37415,37401,36957,36468,36080,35757
21518,back,37060,36395,35803,34793,35156,34624,34467,33928,34461,34349,34440,34157,34217,34542,34362,33995,34335,34929,35677,35848,35655
25268,fwd,37728,38014,38661,39093,39401,39812,38866,38474,38124,37905,37722,37443,37089,36809,36594,36487,35758,35431,35417,35078,34787
25268,back,35995,35009,34181,34309,34279,34748,34882,34654,34647,34258,34138,33921,33691,33335,33536,34253,34252,34137,33947,34131,34620
29018,fwd,36704,37043,37223,37284,37330,37082,36829,36767,36728,36006,35610,35103,34490,33313,32262,32085,31970,31884,32255,32637,33051
29018,back,39600,39374,39151,39006,38913,38624,38493,38078,37469,37104,36990,36765,36385,36250,36245,36379,36015,36274,35391,34446,33603
32768,fwd,39698,39720,39660,39481,39306,39081,38947,38826,38507,38156,37530,36922,36631,36704,36787,36637,36224,35920,35717,35458,35311
32768,back,39703,39550,39406,39159,38776,38486,38337,38022,37592,37158,37130,36920,36763,36603,36290,35952,35725,35622,35576,35315,34985
36518,fwd,39617,39516,39437,39283,39016,38672,38071,37453,36547,36319,36254,36055,35722,35696,35571,35280,35148,35022,34842,34608,34381
36518,back,39035,38932,38873,38727,38594,38321,38060,37785,37548,37409,37163,36895,36523,36174,35969,35864,35699,35464,35143,34754,34227
40268,fwd,38287,37801,37924,37882,37756,37614,37464,37244,36807,36447,36102,35847,35731,35564,35361,35152,34944,34749,34503,34249,34010
40268,back,36690,36944,37091,36934,36699,36287,36244,35936,35777,35567,35368,35136,34872,34472,34229,34223,34053,33591,34013,33942,33883
44018,fwd,36346,36394,36563,36217,35767,35431,35297,35004,34728,34517,34341,34429,34297,34082,33783,33174,33941,35072,35834,36240,36294
44018,back,40527,40295,40126,39905,39686,39476,39216,38967,38762,38563,38388,38207,38078,37935,37774,37521,37257,37037,36783,36580,36408
47768,fwd,40439,40200,39947,39677,39447,39288,39185,39010,38863,38680,38441,38128,37776,37434,37122,36868,36600,36348,36094,35874,35649
47768,back,39359,39199,38998,38766,38523,38291,38133,37998,37846,37650,37466,37267,37035,36800,36575,36322,36047,35827,35595,35411,35454
