t,steps,z_hit,adc
0.496,0,,
1.488,1,,
2.499,2,,
3.421,3,,
4.424,4,,
5.347,5,,
6.273,6,,
7.26,7,,
8.225,8,,
9.217,9,,
10.166,10,51000,31008.5
