t,cycle,phase,z,adc
0.409,0,start,20000,-10.4
0.4134,0,find,20016,13.2
0.4179,0,find,20032,27.8
0.4222,0,find,20048,-0.8
0.427,0,find,20064,-35.2
0.4314,0,find,20080,35
0.4362,0,find,20096,-17.2
0.441,0,find,20112,-14.2
0.4458,0,find,20128,-39
0.451,0,find,20144,3.6
0.4567,0,find,20160,0.8
0.461,0,find,20176,-38.8
0.4667,0,find,20192,8.4
0.4726,0,find,20208,1
0.4775,0,find,20224,-8.4
0.4823,0,find,20240,12.2
0.4873,0,find,20256,22.8
0.4926,0,find,20272,-29.8
0.498,0,find,20288,-4.6
0.503,0,find,20304,-15
0.5075,0,find,20320,-2.4
0.5124,0,find,20336,-0.2
0.5167,0,find,20352,-41.6
0.5211,0,find,20368,36
0.5254,0,find,20384,-61.8
0.5294,0,find,20400,36.6
0.5339,0,find,20416,-40.4
0.5385,0,find,20432,30.4
0.5429,0,find,20448,-43.8
0.5472,0,find,20464,-23
0.551,0,find,20480,-45
0.5551,0,find,20496,-2.4
0.5592,0,find,20512,-21.2
0.5641,0,find,20528,10.2
0.5679,0,find,20544,-34.6
0.5719,0,find,20560,-2.2
0.5757,0,find,20576,-15.6
0.5804,0,find,20592,11
0.5845,0,find,20608,-10.2
0.5892,0,find,20624,-2
0.5937,0,find,20640,-4.4
0.5982,0,find,20656,31.6
0.602,0,find,20672,27.2
0.6061,0,find,20688,-40
0.6104,0,find,20704,23.8
0.615,0,find,20720,-19
0.6192,0,find,20736,-14.4
0.6236,0,find,20752,-27.4
0.6282,0,find,20768,7
0.6327,0,find,20784,-17.6
0.6371,0,find,20800,27.2
0.6418,0,find,20816,-35.8
0.6462,0,find,20832,-27.2
0.6509,0,find,20848,-5.2
0.6554,0,find,20864,-51.8
0.6595,0,find,20880,26.6
0.6635,0,find,20896,9.6
0.6676,0,find,20912,-4.4
0.6723,0,find,20928,-1.4
0.6765,0,find,20944,-43.8
0.6812,0,find,20960,-14
0.6856,0,find,20976,-11.2
0.6907,0,find,20992,15.4
0.695,0,find,21008,2.2
0.699,0,find,21024,-19.8
0.7033,0,find,21040,2.4
0.7087,0,find,21056,-19.8
0.7135,0,find,21072,-47.4
0.7184,0,find,21088,-1.6
0.7227,0,find,21104,-39.6
0.7272,0,find,21120,19.2
0.7318,0,find,21136,-34.4
0.7369,0,find,21152,7.8
0.7417,0,find,21168,-5.8
0.7467,0,find,21184,3.4
0.7514,0,find,21200,2.6
0.756,0,find,21216,12
0.7607,0,find,21232,16.2
0.7648,0,find,21248,21.4
0.7698,0,find,21264,26.8
0.7744,0,find,21280,24.2
0.7792,0,find,21296,-37
0.7835,0,find,21312,14.8
0.7878,0,find,21328,-23.6
0.7923,0,find,21344,-35.4
0.7968,0,find,21360,-4.8
0.8012,0,find,21376,20.2
0.8056,0,find,21392,-25.2
0.81,0,find,21408,-0.6
0.815,0,find,21424,-5.8
0.8195,0,find,21440,26.4
0.8239,0,find,21456,-22.6
0.8281,0,find,21472,14.4
0.8333,0,find,21488,43.6
0.8376,0,find,21504,36.6
0.8425,0,find,21520,-37
0.8471,0,find,21536,-7.4
0.8523,0,find,21552,-10
0.8568,0,find,21568,-3.8
0.8619,0,find,21584,-29
0.8666,0,find,21600,24.6
0.8722,0,find,21616,25.8
0.8773,0,find,21632,-15.2
0.8822,0,find,21648,17
0.8882,0,find,21664,3
0.8928,0,find,21680,-8
0.8974,0,find,21696,4
0.9019,0,find,21712,22
0.9074,0,find,21728,-6
0.9119,0,find,21744,15.2
0.9166,0,find,21760,29.8
0.9214,0,find,21776,4.6
0.9258,0,find,21792,-19.8
0.9303,0,find,21808,-17.2
0.9346,0,find,21824,-10
0.9389,0,find,21840,19.6
0.9431,0,find,21856,-26.6
0.9474,0,find,21872,-4.6
0.9517,0,find,21888,41.2
0.9562,0,find,21904,8.2
0.9607,0,find,21920,10.2
0.9655,0,find,21936,-1.8
0.9699,0,find,21952,-37.6
0.9742,0,find,21968,-35
0.9778,0,find,21984,12
0.9814,0,find,22000,19.4
0.9859,0,find,22016,50.4
0.9905,0,find,22032,-20.8
0.9958,0,find,22048,-36.4
1.0003,0,find,22064,21
1.0042,0,find,22080,1.4
1.0081,0,find,22096,-18.8
1.0119,0,find,22112,-22.2
1.0157,0,find,22128,0
1.0193,0,find,22144,40.4
1.0233,0,find,22160,14.8
1.0274,0,find,22176,21.6
1.0321,0,find,22192,0.2
1.0362,0,find,22208,-32.8
1.0399,0,find,22224,14.2
1.0444,0,find,22240,2.6
1.0493,0,find,22256,39.2
1.0532,0,find,22272,-3.4
1.0576,0,find,22288,-44.6
1.0617,0,find,22304,11.6
1.0662,0,find,22320,-5.8
1.0702,0,find,22336,19.6
1.0743,0,find,22352,6
1.0784,0,find,22368,-18.2
1.0831,0,find,22384,-24.8
1.0877,0,find,22400,25.2
1.0917,0,find,22416,31.8
1.0966,0,find,22432,-8.2
1.1009,0,find,22448,31.6
1.1051,0,find,22464,25.6
1.1098,0,find,22480,0.6
1.1138,0,find,22496,44.8
1.1179,0,find,22512,10
1.1221,0,find,22528,23
1.1266,0,find,22544,-4.4
1.1305,0,find,22560,5.8
1.1342,0,find,22576,9.6
1.1391,0,find,22592,-8.4
1.1431,0,find,22608,-3.8
1.1469,0,find,22624,-34.6
1.1512,0,find,22640,-0.4
1.1559,0,find,22656,-21.6
1.1602,0,find,22672,35.8
1.1645,0,find,22688,-2.2
1.1685,0,find,22704,18.2
1.1737,0,find,22720,-31.2
1.1779,0,find,22736,27.2
1.1821,0,find,22752,-25.6
1.1864,0,find,22768,14.4
1.1905,0,find,22784,5.2
1.1949,0,find,22800,7
1.1992,0,find,22816,-11.8
1.204,0,find,22832,48.4
1.2082,0,find,22848,-27.4
1.2122,0,find,22864,-41.2
1.216,0,find,22880,-16.8
1.2202,0,find,22896,22.6
1.2242,0,find,22912,15.2
1.2291,0,find,22928,2.4
1.233,0,find,22944,43.2
1.237,0,find,22960,14.8
1.2411,0,find,22976,-34.8
1.245,0,find,22992,-36.8
1.2492,0,find,23008,-21
1.2532,0,find,23024,-36.8
1.2569,0,find,23040,3
1.2606,0,find,23056,-21.2
1.2647,0,find,23072,-8.2
1.2689,0,find,23088,1
1.273,0,find,23104,-19.6
1.2775,0,find,23120,-2.4
1.2824,0,find,23136,9.2
1.2862,0,find,23152,17
1.2903,0,find,23168,4.8
1.294,0,find,23184,-6
1.2992,0,find,23200,-7.8
1.3035,0,find,23216,-5
1.3091,0,find,23232,3.6
1.3137,0,find,23248,-17.6
1.3184,0,find,23264,25.8
1.3226,0,find,23280,28.4
1.3267,0,find,23296,7
1.3309,0,find,23312,14
1.3351,0,find,23328,20.8
1.3392,0,find,23344,33.8
1.3443,0,find,23360,10.2
1.3485,0,find,23376,21.4
1.3532,0,find,23392,-6.4
1.3576,0,find,23408,7.8
1.3621,0,find,23424,-43.8
1.367,0,find,23440,3.4
1.3712,0,find,23456,13.4
1.3759,0,find,23472,-20.2
1.3801,0,find,23488,14.8
1.3847,0,find,23504,17.4
1.3898,0,find,23520,-26.4
1.394,0,find,23536,-0.4
1.3986,0,find,23552,15.6
1.4027,0,find,23568,38.8
1.4078,0,find,23584,28.6
1.412,0,find,23600,-28.2
1.4163,0,find,23616,-5
1.4208,0,find,23632,-11.4
1.4255,0,find,23648,-43.2
1.4301,0,find,23664,-8.6
1.4346,0,find,23680,19.6
1.4392,0,find,23696,22.4
1.4436,0,find,23712,-25
1.4482,0,find,23728,19.6
1.4531,0,find,23744,51.2
1.4573,0,find,23760,26
1.4618,0,find,23776,-60.2
1.4658,0,find,23792,-45
1.4702,0,find,23808,25.4
1.4747,0,find,23824,-34.4
1.4794,0,find,23840,14.4
1.4837,0,find,23856,22.8
1.4879,0,find,23872,54.4
1.4918,0,find,23888,-5.4
1.4964,0,find,23904,-15.6
1.5013,0,find,23920,2.4
1.5059,0,find,23936,36.2
1.5103,0,find,23952,-18.2
1.5144,0,find,23968,-21.4
1.5184,0,find,23984,16.6
1.5225,0,find,24000,59
1.5267,0,find,24016,-12.6
1.5314,0,find,24032,41.4
1.5356,0,find,24048,28.8
1.5398,0,find,24064,12.2
1.5436,0,find,24080,-24.2
1.5479,0,find,24096,-1.8
1.5524,0,find,24112,-21
1.5561,0,find,24128,-34.6
1.5606,0,find,24144,-58.8
1.5645,0,find,24160,-17.4
1.5686,0,find,24176,34
1.5727,0,find,24192,-25.8
1.5765,0,find,24208,-30
1.5805,0,find,24224,-13.2
1.5849,0,find,24240,14.6
1.5893,0,find,24256,19.8
1.5944,0,find,24272,-13.2
1.5983,0,find,24288,-19.2
1.6026,0,find,24304,-5.8
1.6069,0,find,24320,25.2
1.6111,0,find,24336,-31
1.6153,0,find,24352,22.2
1.6199,0,find,24368,0.6
1.6242,0,find,24384,-5.8
1.6284,0,find,24400,-12.8
1.6324,0,find,24416,-2.4
1.6368,0,find,24432,27.2
1.6411,0,find,24448,-0.4
1.6454,0,find,24464,5.2
1.6499,0,find,24480,-28.4
1.6551,0,find,24496,14
1.6594,0,find,24512,34.2
1.6642,0,find,24528,1.2
1.6687,0,find,24544,27.6
1.6738,0,find,24560,-7.8
1.6779,0,find,24576,34.2
1.682,0,find,24592,-8.2
1.6865,0,find,24608,29.2
1.6909,0,find,24624,34.2
1.695,0,find,24640,-16
1.6986,0,find,24656,19.4
1.7033,0,find,24672,0.4
1.7076,0,find,24688,0.2
1.7121,0,find,24704,-19.6
1.7162,0,find,24720,2.2
1.7205,0,find,24736,-21.6
1.7246,0,find,24752,44
1.7287,0,find,24768,-55.4
1.7331,0,find,24784,-10.8
1.7377,0,find,24800,20.4
1.7419,0,find,24816,-18.6
1.7458,0,find,24832,-20.4
1.7499,0,find,24848,-10
1.7537,0,find,24864,24.2
1.7576,0,find,24880,-25.6
1.7621,0,find,24896,-31.6
1.7667,0,find,24912,15.8
1.771,0,find,24928,-17
1.7753,0,find,24944,13.8
1.7798,0,find,24960,-49.2
1.7842,0,find,24976,8
1.7886,0,find,24992,17.6
1.793,0,find,25008,-40.8
1.798,0,find,25024,-3.6
1.8018,0,find,25040,-29.4
1.8055,0,find,25056,21.6
1.8091,0,find,25072,-11.4
1.8132,0,find,25088,-10
1.8171,0,find,25104,6.6
1.8209,0,find,25120,25.6
1.8251,0,find,25136,-28.2
1.8295,0,find,25152,-38
1.8334,0,find,25168,-19.2
1.8375,0,find,25184,-3.6
1.8416,0,find,25200,10
1.8461,0,find,25216,-23
1.8512,0,find,25232,-3
1.8555,0,find,25248,-20.8
1.8597,0,find,25264,12.6
1.8634,0,find,25280,-3.8
1.8678,0,find,25296,34.4
1.8723,0,find,25312,-11.6
1.8769,0,find,25328,-25.6
1.8808,0,find,25344,-35.6
1.8855,0,find,25360,40.2
1.89,0,find,25376,20.4
1.8944,0,find,25392,-15
1.8991,0,find,25408,-16.8
1.9039,0,find,25424,21.6
1.9087,0,find,25440,-36.6
1.9132,0,find,25456,29
1.917,0,find,25472,-15.6
1.9217,0,find,25488,11.2
1.9259,0,find,25504,13
1.9303,0,find,25520,-34.6
1.9348,0,find,25536,-47.6
1.9391,0,find,25552,-10.2
1.9431,0,find,25568,0.4
1.9472,0,find,25584,-6.6
1.9509,0,find,25600,-2.2
1.9551,0,find,25616,-20.2
1.9595,0,find,25632,3.2
1.9636,0,find,25648,26
1.968,0,find,25664,8.2
1.9727,0,find,25680,4.4
1.9774,0,find,25696,-6.8
1.9816,0,find,25712,-46.2
1.986,0,find,25728,46.4
1.9901,0,find,25744,22
1.9944,0,find,25760,2.6
1.9986,0,find,25776,-37
2.0029,0,find,25792,-24.2
2.0076,0,find,25808,-38.4
2.0125,0,find,25824,-15.6
2.0169,0,find,25840,-39.4
2.0211,0,find,25856,-13.2
2.0249,0,find,25872,-20.6
2.0288,0,find,25888,-53
2.0331,0,find,25904,-29.8
2.037,0,find,25920,35.6
2.0411,0,find,25936,-46.6
2.0458,0,find,25952,1.8
2.0505,0,find,25968,27.6
2.0551,0,find,25984,3.6
2.0596,0,find,26000,-26.8
2.0642,0,find,26016,-2
2.0688,0,find,26032,-56
2.0731,0,find,26048,-23.2
2.078,0,find,26064,-14
2.0823,0,find,26080,15.2
2.0866,0,find,26096,-24.2
2.0911,0,find,26112,5.4
2.0956,0,find,26128,-16.2
2.1003,0,find,26144,22.6
2.1046,0,find,26160,-3.8
2.1091,0,find,26176,9.8
2.1136,0,find,26192,32.8
2.1191,0,find,26208,9.4
2.1233,0,find,26224,36.4
2.1275,0,find,26240,39.6
2.1315,0,find,26256,-23.2
2.1362,0,find,26272,6.4
2.1412,0,find,26288,4
2.1455,0,find,26304,7.2
2.1496,0,find,26320,-16.8
2.1537,0,find,26336,-9.8
2.158,0,find,26352,-52
2.1626,0,find,26368,1.4
2.167,0,find,26384,7.2
2.1712,0,find,26400,32
2.1755,0,find,26416,-23.2
2.1798,0,find,26432,-13.2
2.1843,0,find,26448,-22.6
2.1896,0,find,26464,23.2
2.1936,0,find,26480,21.2
2.1979,0,find,26496,26.6
2.2025,0,find,26512,10.8
2.2072,0,find,26528,-11.4
2.2118,0,find,26544,15
2.2165,0,find,26560,19.2
2.2213,0,find,26576,14.6
2.2257,0,find,26592,-21.8
2.2305,0,find,26608,-10.4
2.2352,0,find,26624,-6.8
2.2392,0,find,26640,-4.6
2.2434,0,find,26656,16.4
2.2473,0,find,26672,-41.6
2.2513,0,find,26688,-4.8
2.2549,0,find,26704,-19
2.2589,0,find,26720,2
2.263,0,find,26736,-48.8
2.2669,0,find,26752,-26.2
2.2705,0,find,26768,13.4
2.2744,0,find,26784,-31.6
2.2782,0,find,26800,4.4
2.2823,0,find,26816,-14.8
2.2861,0,find,26832,-3.8
2.2901,0,find,26848,-2
2.2945,0,find,26864,8.6
2.2991,0,find,26880,-44.6
2.3028,0,find,26896,0
2.3068,0,find,26912,26.8
2.3107,0,find,26928,23.6
2.3149,0,find,26944,-12
2.3191,0,find,26960,2.8
2.3232,0,find,26976,4.6
2.3273,0,find,26992,1.4
2.332,0,find,27008,-7.8
2.338,0,find,27024,-11.4
2.3417,0,find,27040,-29.4
2.3456,0,find,27056,-33.6
2.3506,0,find,27072,11
2.3546,0,find,27088,30.2
2.3588,0,find,27104,-60.8
2.3632,0,find,27120,-38.2
2.3672,0,find,27136,51
2.3718,0,find,27152,-34.8
2.3756,0,find,27168,-27.4
2.3794,0,find,27184,-6.4
2.3829,0,find,27200,17.4
2.3866,0,find,27216,26.8
2.3904,0,find,27232,-3.6
2.394,0,find,27248,-10.8
2.3975,0,find,27264,-3.2
2.4013,0,find,27280,29.8
2.4057,0,find,27296,-4
2.4098,0,find,27312,-40.4
2.4139,0,find,27328,-42.4
2.4181,0,find,27344,17.6
2.4233,0,find,27360,-9.8
2.4275,0,find,27376,-7.8
2.4315,0,find,27392,-45.4
2.436,0,find,27408,6
2.441,0,find,27424,-6.6
2.4456,0,find,27440,-39
2.4502,0,find,27456,18.8
2.4551,0,find,27472,14
2.4606,0,find,27488,-15.4
2.4657,0,find,27504,-24
2.4697,0,find,27520,28.4
2.4741,0,find,27536,-13.4
2.4795,0,find,27552,-11.8
2.4843,0,find,27568,41.4
2.4898,0,find,27584,-17.6
2.4949,0,find,27600,-42.8
