y,dir,29768,30068,30368,30668,30968,31268,31568,31868,32168,32468,32768,33068,33368,33668,33968,34268,34568,34868,35168,35468,35768
29768,fwd,13500,15000,16500,18000,19176,18978,18490,16990,17290,16473,17373,15873,16773,15889,16189,16707,16034,17318,16461,17213,17513
29768,back,16403,16103,17603,17777,17421,17466,18366,17357,17554,17854,17257,18052,16552,17372,17072,16986,17886,16818,17291,17238,16904
30368,fwd,15822,16771,15665,16334,16309,16200,16896,15996,16896,16596,15867,17367,16701,16401,17301,16567,17027,16727,17148,16848,17197
30368,back,17663,17363,17865,18085,17932,17538,18142,18442,18142,17668,18568,18382,17848,18302,17918,16877,17660,17360,17660,17240,16974
30968,fwd,18206,17594,17845,18145,16853,17842,17542,16842,17850,16962,17262,17918,17201,18294,17416,17778,18421,19321,18421,16921,15421
30968,back,17516,16594,17187,15687,16655,15755,16574,16274,15974,16274,15905,16205,14705,15797,14897,14447,15393,14589,16002,15102,14521
31568,fwd,16616,17422,17142,17799,17493,15993,14493,15294,13917,14789,14720,15023,14846,15814,16266,15366,15153,15609,14709,15100,15400
31568,back,18491,18161,17765,17035,16015,16700,16639,16948,16001,16412,16485,16045,16231,15633,16330,15430,15130,16006,15106,16006,15106
32168,fwd,19991,21491,22499,22704,21615,21623,20162,18873,17587,16087,15187,13967,13923,14654,14082,14505,14403,14703,14403,14137,15079
32168,back,14138,14673,14811,14511,14811,13911,14275,13975,13153,13724,13424,14924,16424,16856,15557,16265,15629,15652,14752,15617,14193
32768,fwd,15097,14197,15097,14797,15097,14808,15108,15510,16474,17611,18572,20072,21354,22854,22648,23058,22626,21126,19626,18126,16626
32768,back,18114,19614,18460,17032,16132,15723,14223,14584,13638,14884,13799,14256,13811,13399,12574,13473,12168,13668,12534,13626,15126
33368,fwd,16614,15114,13614,12114,13257,12087,12987,12687,12583,12900,13200,12743,14243,13644,14544,14771,16271,16765,18265,18987,19536
33368,back,12000,13282,14782,15605,14105,14463,13563,14551,13051,14352,13035,13097,12300,12858,12000,13094,14594,16094,17368,18206,18777
33968,fwd,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
33968,back,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
34568,fwd,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
34568,back,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
