t,steps,z_hit,adc
273.972,398,,
274.681,399,,
275.374,400,,
276.067,401,,
276.726,402,,
277.414,403,,
278.044,404,,
278.739,405,,
279.44,406,,
280.149,407,,
280.846,408,,
281.55,409,,
282.258,410,,
282.961,411,,
283.666,412,,
284.339,413,,
285.047,414,,
285.713,415,,
286.415,416,,
287.12,417,,
287.79,418,,
288.487,419,,
289.182,420,,
289.818,421,,
290.517,422,,
291.214,423,,
291.91,424,,
292.598,425,,
293.29,426,,
293.949,427,,
294.65,428,,
295.354,429,,
296.012,430,,
296.714,431,,
297.41,432,,
298.106,433,,
298.799,434,,
299.499,435,,
300.191,436,,
300.89,437,,
301.593,438,,
302.293,439,,
302.993,440,,
303.689,441,,
304.391,442,,
305.094,443,,
305.764,444,,
306.456,445,,
307.141,446,,
307.844,447,,
308.537,448,,
309.236,449,,
309.926,450,,
310.627,451,,
311.272,452,,
311.966,453,,
312.592,454,,
313.291,455,,
313.988,456,,
314.681,457,,
315.387,458,,
316.087,459,,
316.764,460,,
317.477,461,,
318.184,462,,
318.878,463,,
319.576,464,,
320.278,465,,
320.985,466,,
321.672,467,,
322.365,468,,
323.061,469,,
323.746,470,,
324.446,471,,
325.144,472,,
325.839,473,,
326.552,474,,
327.256,475,,
327.95,476,,
328.641,477,,
329.341,478,,
330.039,479,,
330.734,480,,
331.43,481,,
332.13,482,,
332.813,483,,
333.49,484,,
334.202,485,,
334.902,486,,
335.61,487,,
336.316,488,,
337.008,489,,
337.696,490,,
338.413,491,,
339.126,492,,
339.81,493,,
340.517,494,,
341.228,495,,
341.924,496,,
342.623,497,,
343.32,498,,
344.027,499,,
344.74,500,,
345.44,501,,
346.137,502,,
346.829,503,,
347.535,504,,
348.245,505,,
348.955,506,,
349.646,507,,
350.338,508,,
351.048,509,,
351.742,510,,
352.438,511,,
353.151,512,,
353.849,513,,
354.54,514,,
355.25,515,,
355.942,516,,
356.636,517,,
357.329,518,,
358.041,519,,
358.718,520,,
359.404,521,,
360.105,522,,
360.785,523,,
361.495,524,,
362.193,525,,
362.878,526,,
363.588,527,,
364.291,528,,
365.006,529,,
365.685,530,,
366.39,531,,
367.084,532,,
367.781,533,,
368.486,534,,
369.201,535,,
369.898,536,,
370.612,537,,
371.328,538,,
372.046,539,,
372.739,540,,
373.457,541,,
374.155,542,,
374.852,543,,
375.56,544,,
376.273,545,,
376.97,546,,
377.678,547,,
378.384,548,,
379.099,549,,
379.792,550,,
380.504,551,,
381.197,552,,
381.894,553,,
382.594,554,,
383.24,555,,
383.936,556,,
384.6,557,,
385.286,558,,
385.958,559,,
386.637,560,,
387.347,561,,
388.016,562,,
388.701,563,,
389.412,564,,
390.116,565,,
390.799,566,,
391.504,567,,
392.203,568,,
392.897,569,,
393.599,570,,
394.312,571,,
395.016,572,,
395.719,573,,
396.423,574,,
397.153,575,,
397.843,576,,
398.55,577,,
399.246,578,,
399.946,579,,
400.667,580,,
401.317,581,,
402.004,582,,
402.707,583,,
403.413,584,,
404.115,585,,
404.811,586,,
405.466,587,,
406.13,588,,
406.816,589,,
407.509,590,,
408.218,591,,
408.865,592,,
409.567,593,,
410.268,594,,
410.969,595,,
411.629,596,,
412.343,597,,
413.04,598,,
413.741,599,,
414.436,600,,
415.123,601,,
415.771,602,,
416.465,603,,
417.153,604,,
417.842,605,,
418.544,606,,
419.238,607,,
419.947,608,,
420.624,609,,
421.333,610,,
422.021,611,,
422.702,612,,
423.404,613,,
424.102,614,,
424.794,615,,
425.502,616,,
426.206,617,,
426.913,618,,
427.611,619,,
428.274,620,,
428.971,621,,
429.674,622,,
430.364,623,,
431.061,624,,
431.744,625,,
432.429,626,,
433.103,627,,
433.772,628,,
434.485,629,,
435.19,630,,
435.879,631,,
436.579,632,,
437.247,633,,
437.937,634,,
438.635,635,,
439.317,636,,
440.028,637,,
440.721,638,,
441.421,639,,
442.121,640,,
442.803,641,,
443.52,642,,
444.225,643,,
444.878,644,,
445.58,645,,
446.306,646,,
447.002,647,,
447.712,648,,
448.404,649,,
449.094,650,,
