t,cycle,phase,z,adc
0.2996,0,start,45000,20586.8
0.3044,0,snap,42000,8010.6
0.3087,0,snap,41000,16517.2
0.3133,0,snap,40000,27226
0.3177,0,snap,39000,21301.6
0.3225,0,snap,38000,12332.4
0.3275,0,snap,37000,11627.6
0.3329,0,snap,36000,14328
0.338,0,snap,35000,14533.4
0.3428,0,snap,34000,23355
0.3484,0,snap,33000,21376.2
0.3536,0,snap,32000,17459.4
0.3582,0,snap,31000,15857.6
0.3635,0,snap,30000,11316
0.3688,0,snap,29000,25144.2
0.3737,0,snap,28000,32234.6
0.3785,0,snap,27000,26976.6
0.3833,0,snap,26000,32767
0.3875,0,snap,25000,32767
0.3923,0,snap,24000,32767
0.397,0,snap,23000,32767
0.4015,0,snap,22000,32767
0.406,0,snap,21000,32767
0.4114,0,snap,20000,32767
0.416,0,snap,19000,32767
0.421,0,snap,18000,32767
0.4263,0,snap,17000,32767
0.4322,0,snap,16000,32767
0.4372,0,snap,15000,32767
0.4426,0,snap,14000,32767
0.4488,0,snap,13000,32767
0.4539,0,snap,12000,32767
0.4591,0,snap,11000,32767
0.4657,0,snap,10000,32767
0.4704,0,snap,9000,32767
0.4761,0,snap,8000,32767
0.4815,0,snap,7000,32767
0.4864,0,snap,6000,32767
0.4922,0,snap,5000,32767
0.4975,0,snap,4000,32767
0.5025,0,snap,3000,30512.6
0.5079,0,snap,2000,32767
0.514,0,snap,1000,32767
0.5191,0,snap,0,32767
0.5248,0,pre,0,32767
