t,phase,z,bias,value
0.6152,baseline,10000,38229,32767
0.6154,baseline,10000,38229,32767
0.6157,baseline,10000,38229,32767
0.616,baseline,10000,38229,32767
0.6163,baseline,10000,38229,32767
0.6166,baseline,10000,38229,32767
0.6169,baseline,10000,38229,32767
0.6172,baseline,10000,38229,32767
0.6175,baseline,10000,38229,32767
0.6178,baseline,10000,38229,32767
0.6181,baseline,10000,38229,32767
0.6184,baseline,10000,38229,32767
0.6187,baseline,10000,38229,32767
0.6189,baseline,10000,38229,32767
0.6193,baseline,10000,38229,32767
0.6195,baseline,10000,38229,32767
0.6199,baseline,10000,38229,32767
0.6202,baseline,10000,38229,32767
0.6204,baseline,10000,38229,32767
0.6208,baseline,10000,38229,32767
0.6211,baseline,10000,38229,32767
0.6213,baseline,10000,38229,32767
